,amp
377,1.85802355
378,1.877295647
379,1.896075012
380,1.914344653
381,1.932088072
382,1.949289294
383,1.9659329
384,1.98200405
385,1.997488512
386,2.012372689
387,2.026643641
388,2.04028911
389,2.053297544
390,2.065658113
391,2.077360734
392,2.088396085
393,2.098755625
394,2.108431606
395,2.117417088
396,2.125705952
397,2.133292909
398,2.140173508
399,2.146344146
400,2.15180207
401,2.156545382
402,2.160573041
403,2.163884864
404,2.166481524
405,2.168364544
406,2.169536299
407,2.17
408,2.169759695
409,2.168820253
410,2.167187354
411,2.164867479
412,2.161867891
413,2.158196621
414,2.15386245
415,2.148874893
416,2.143244174
417,2.136981207
418,2.130097574
419,2.122605499
420,2.114517827
421,2.105847992
422,2.096609995
423,2.086818374
424,2.076488176
425,2.065634929
426,2.054274607
427,2.042423607
428,2.03009871
429,2.017317056
430,2.004096109
431,1.990453625
432,1.97640762
433,1.961976337
434,1.947178218
435,1.932031864
436,1.916556009
437,1.900769485
438,1.884691193
439,1.868340069
440,1.851735054
441,1.834895064
442,1.81783896
443,1.800585518
444,1.783153402
445,1.765561136
446,1.747827075
447,1.72996938
448,1.712005994
449,1.693954616
450,1.675832679
451,1.657657325
452,1.639445387
453,1.621213366
454,1.602977413
455,1.584753313
456,1.566556462
457,1.548401858
458,1.530304082
459,1.512277289
460,1.494335188
461,1.476491039
462,1.45875764
463,1.441147315
464,1.423671912
465,1.406342793
466,1.389170829
467,1.372166397
468,1.355339377
469,1.338699147
470,1.322254587
471,1.306014074
472,1.289985486
473,1.274176204
474,1.258593113
475,1.24324261
476,1.228130601
477,1.213262516
478,1.198643308
479,1.184277463
480,1.170169009
481,1.156321521
482,1.142738134
483,1.129421548
484,1.116374043
485,1.103597487
486,1.091093346
487,1.078862701
488,1.066906252
489,1.055224337
490,1.043816941
491,1.03268371
492,1.021823963
493,1.011236707
494,1.000920649
495,0.990874211
496,0.981095538
497,0.971582522
498,0.962332803
499,0.953343794
500,0.944612685
501,0.936136464
502,0.927911923
503,0.919935678
504,0.912204176
505,0.904713713
506,0.897460441
507,0.890440383
508,0.883649448
509,0.877083435
510,0.870738052
511,0.864608923
512,0.8586916
513,0.852981572
514,0.847474277
515,0.842165111
516,0.837049436
517,0.832122593
518,0.827379905
519,0.822816689
520,0.818428264
521,0.814209956
522,0.810157108
523,0.806265085
524,0.80252928
525,0.798945122
526,0.79550808
527,0.792213669
528,0.789057454
529,0.786035056
530,0.783142155
531,0.780374496
532,0.777727888
533,0.775198214
534,0.772781427
535,0.770473558
536,0.768270715
537,0.766169088
538,0.764164948
539,0.762254648
540,0.760434629
541,0.758701417
542,0.757051624
543,0.75548195
544,0.753989183
545,0.752570199
546,0.751221962
547,0.749941524
548,0.748726025
549,0.747572691
550,0.746478834
551,0.745441855
552,0.744459236
553,0.743528544
554,0.742647431
555,0.741813627
556,0.741024944
557,0.740279272
558,0.73957458
559,0.738908911
560,0.738280383
561,0.737687186
562,0.737127583
563,0.736599904
564,0.736102547
565,0.735633977
566,0.735192722
567,0.734777373
568,0.734386579
569,0.734019051
570,0.733673556
571,0.733348914
572,0.733044
573,0.732757741
574,0.732489112
575,0.732237138
576,0.732000889
577,0.73177948
578,0.731572069
579,0.731377856
580,0.731196079
581,0.731026017
582,0.730866982
583,0.730718325
584,0.730579428
585,0.730449706
586,0.730328606
587,0.730215604
588,0.730110203
589,0.730011934
590,0.729920355
591,0.729835046
592,0.729755612
593,0.729681681
594,0.729612901
595,0.72954894
596,0.729489486
597,0.729434246
598,0.729382942
599,0.729335314
600,0.729291119
601,0.729250125
602,0.729212118
603,0.729176895
604,0.729144266
605,0.729114052
606,0.729086087
607,0.729060214
608,0.729036287
609,0.729014169
610,0.728993733
611,0.728974857
612,0.728957431
613,0.728941349
614,0.728926515
615,0.728912838
616,0.728900232
617,0.728888618
618,0.728877924
619,0.72886808
620,0.728859022
621,0.728850692
622,0.728843033
623,0.728835996
624,0.728829532
625,0.728823597
626,0.72881815
627,0.728813152
628,0.72880857
629,0.72880437
630,0.728800521
631,0.728796997
632,0.72879377
633,0.728790818
634,0.728788117
635,0.728785648
636,0.728783391
637,0.72878133
638,0.728779447
639,0.728777729
640,0.728776161
641,0.728774731
642,0.728773428
643,0.72877224
644,0.728771158
645,0.728770173
646,0.728769276
647,0.728768461
648,0.728767719
649,0.728767045
650,0.728766432
651,0.728765876
652,0.728765371
653,0.728764913
654,0.728764497
655,0.72876412
656,0.728763778
657,0.728763469
658,0.728763189
659,0.728762935
660,0.728762705
661,0.728762498
662,0.72876231
663,0.728762141
664,0.728761987
665,0.728761849
666,0.728761724
667,0.728761611
668,0.72876151
669,0.728761418
670,0.728761336
671,0.728761261
672,0.728761195
673,0.728761134
674,0.72876108
675,0.728761031
676,0.728760988
677,0.728760948
678,0.728760913
679,0.728760881
680,0.728760853
681,0.728760827
682,0.728760804
683,0.728760784
684,0.728760766
685,0.728760749
686,0.728760734
687,0.728760721
688,0.728760709
689,0.728760699
690,0.728760689
691,0.728760681
692,0.728760674
693,0.728760667
694,0.728760661
695,0.728760656
696,0.728760651
697,0.728760647
698,0.728760643
699,0.728760639
700,0.728760636
701,0.728760634
702,0.728760631
703,0.728760629
704,0.728760627
705,0.728760626
706,0.728760624
707,0.728760623
708,0.728760622
709,0.728760621
710,0.72876062
711,0.728760619
712,0.728760618
713,0.728760618
