,amp
156,-1.5160481618423595e-07
157,1.506277575419747e-07
158,-1.4965632610336003e-07
159,1.48704043664731e-07
160,-1.477558977645535e-07
161,1.4682752422892507e-07
162,-1.4590169841064535e-07
163,1.4499662881458064e-07
164,-1.440921879381675e-07
165,1.4320951288581774e-07
166,-1.4232556076298318e-07
167,1.4146475689698769e-07
168,-1.406004128704418e-07
169,1.3976082509330185e-07
170,-1.3891528624771865e-07
171,1.3809639046901046e-07
172,-1.3726867294672405e-07
173,1.3647000639240424e-07
174,-1.3565935129914955e-07
175,1.3488034987094333e-07
176,-1.3408589374535152e-07
177,1.3332630963065364e-07
178,-1.3254715330248508e-07
179,1.3180662040460893e-07
180,-1.3104201776471617e-07
181,1.303202759332317e-07
182,-1.2956914018449356e-07
183,1.2886606016422237e-07
184,-1.2812770387981458e-07
185,1.274430742628109e-07
186,-1.2671650569532052e-07
187,1.2605043313605433e-07
188,-1.2533457652158124e-07
189,1.2468707071139528e-07
190,-1.239810133242447e-07
191,1.233521794017836e-07
192,-1.226546453269771e-07
193,1.2204485084262882e-07
194,-1.2135493079614075e-07
195,1.2076443153923116e-07
196,-1.2008070483233146e-07
197,1.1951016876002566e-07
198,-1.1883127105044518e-07
199,1.1828128912343226e-07
200,-1.1760584460081291e-07
201,1.1707716295930231e-07
202,-1.1640331543951561e-07
203,1.158970623918801e-07
204,-1.1522328922208738e-07
205,1.147405365749288e-07
206,-1.140646401561771e-07
207,1.1360702383922165e-07
208,-1.1292693834375815e-07
209,1.1249601414056959e-07
210,-1.1180920254258465e-07
211,1.1140690995177752e-07
212,-1.1071070055307104e-07
213,1.1033952669625197e-07
214,-1.0963068575044078e-07
215,1.0929315409796426e-07
216,-1.0856845897885983e-07
217,1.0826785580915688e-07
218,-1.0752332505221722e-07
219,1.072631244445476e-07
220,-1.0649439700763781e-07
221,1.0627872780329043e-07
222,-1.0548091036590968e-07
223,1.0531457784326349e-07
224,-1.0448212147799547e-07
225,1.0437042201180093e-07
226,-1.0349708125081536e-07
227,1.0344629293642348e-07
228,-1.0252510353108687e-07
229,1.025422723163934e-07
230,-1.015651446357395e-07
231,1.0165828395663416e-07
232,-1.0061621732756217e-07
233,1.0079452592085798e-07
234,-9.967746762530722e-08
235,9.995132860930548e-08
236,-9.874767753219417e-08
237,9.91289783763067e-08
238,-9.782582863098019e-08
239,9.832799357513474e-08
240,-9.691065337168238e-08
241,9.754885726021027e-08
242,-9.60006615860976e-08
243,9.679239400017676e-08
244,-9.509467102048434e-08
245,9.605922315570638e-08
246,-9.419079007693234e-08
247,9.535064942071704e-08
248,-9.328764957060727e-08
249,9.46676394103606e-08
250,-9.2383019610505e-08
251,9.401163034145533e-08
252,-9.147499309877917e-08
253,9.338432944653962e-08
254,-9.056128048986207e-08
255,9.27874198913172e-08
256,-8.963924561115856e-08
257,9.222317724966993e-08
258,-8.87061150364312e-08
259,9.169391858809412e-08
260,-8.77587984760198e-08
261,9.120257370202204e-08
262,-8.679369333476178e-08
263,9.07522196859779e-08
264,-8.580730714780187e-08
265,9.034640079448312e-08
266,-8.47947790109384e-08
267,8.998918838549655e-08
268,-8.375174834175402e-08
269,8.968517742283364e-08
270,-8.26728076443133e-08
271,8.943959233544935e-08
272,-8.155195318145235e-08
273,8.925822862088542e-08
274,-8.038265845503698e-08
275,8.914757542833185e-08
276,-7.915730413135977e-08
277,8.911516213595523e-08
278,-7.78680478764306e-08
279,8.916934499225953e-08
280,-7.650551406158075e-08
281,8.931929168448644e-08
282,-7.505936224769166e-08
283,8.957540012887219e-08
284,-7.351830187130665e-08
285,8.994949465821527e-08
286,-7.186956448889159e-08
287,9.045464710477853e-08
288,-7.009899025343222e-08
289,9.110552168784488e-08
290,-6.819068566093576e-08
291,9.191842878824494e-08
292,-6.612695531343782e-08
293,9.291174378831313e-08
294,-6.38882512258247e-08
295,9.410581346345608e-08
296,-6.145257864712142e-08
297,9.552353326313854e-08
298,-5.8795639517214894e-08
299,9.719034900065607e-08
300,-5.589027359941907e-08
301,9.913455194209835e-08
302,-5.270617094578916e-08
303,1.0138780012604288e-07
304,-4.9209884669814396e-08
305,1.039851526559988e-07
306,-4.5363826873605e-08
307,1.069658769644123e-07
308,-4.1126573453047994e-08
309,1.1037341250740548e-07
310,-3.6452024429927384e-08
311,1.1425631492521127e-07
312,-3.128864057230686e-08
313,1.1866817311906845e-07
314,-2.5579734482708075e-08
315,1.2366883957961463e-07
316,-1.9261933451744594e-08
317,1.2932481960612278e-07
318,-1.2265238003772216e-08
319,1.3570954492541283e-07
320,-4.51185336944357e-09
321,1.42904746035691e-07
322,4.084617157057412e-09
323,1.5100087601642528e-07
324,1.3619356278979844e-08
325,1.6009828320567342e-07
326,2.419853745264273e-08
327,1.7030818165139138e-07
328,3.593895316231468e-08
329,1.8175349999851363e-07
330,4.897031735961624e-08
331,1.945704654271102e-07
332,6.343618994307399e-08
333,2.089094987100179e-07
334,7.949482067528138e-08
335,2.2493714264095966e-07
336,9.732173590168985e-08
337,2.428374703606001e-07
338,1.1711014583550227e-07
339,2.6281365331641156e-07
340,1.3907396236727122e-07
341,2.8508993427097054e-07
342,1.6344912541213457e-07
343,3.0991410952819336e-07
344,1.904958449895468e-07
345,3.3755916863398877e-07
346,2.2050108123790077e-07
347,3.68326470278992e-07
348,2.5378110847048666e-07
349,4.0254786204373034e-07
350,2.9068465397777735e-07
351,4.405888921344761e-07
352,3.3159547334025496e-07
353,4.82852339367887e-07
354,3.7693617105393617e-07
355,5.297811634642494e-07
356,4.271717124493562e-07
357,5.818629536471682e-07
358,4.828133380746239e-07
359,6.396338079141412e-07
360,5.4442329592841e-07
361,7.03682806560395e-07
362,6.126193959686195e-07
363,7.746571250331495e-07
364,6.880799140560949e-07
365,8.532677297822755e-07
366,7.715498766661725e-07
367,9.40294725446259e-07
368,8.638464605321446e-07
369,1.0365941005486304e-06
370,9.658663052106944e-07
371,1.1431045032624034e-06
372,1.0785923889902104e-06
373,1.2608548345274598e-06
374,1.2031017037633454e-06
375,1.390972263859575e-06
376,1.340574306119947e-06
377,1.5346915768990408e-06
378,1.492301847716689e-06
379,1.6933638424282307e-06
380,1.6596981516134125e-06
381,1.8684678510635028e-06
382,1.8443096886395402e-06
383,2.061620535188178e-06
384,2.0478271785774937e-06
385,2.274589437635388e-06
386,2.2720986901744e-06
387,2.509306097693792e-06
388,2.5191426462034887e-06
389,2.767879622317336e-06
390,2.791163198431542e-06
391,3.052612862989204e-06
392,3.0905658921835555e-06
393,3.3660180018859944e-06
394,3.4199745233153e-06
395,3.7108353937615344e-06
396,3.782250763306735e-06
397,4.0900519716954255e-06
398,4.180512632551756e-06
399,4.506922728078602e-06
400,4.618157296011676e-06
401,4.964992651887186e-06
402,5.09888388351951e-06
403,5.4681206719649055e-06
404,5.626718148556842e-06
405,6.020506023687907e-06
406,6.206039891175586e-06
407,6.6267158799770475e-06
408,6.841610938047744e-06
409,7.291715181064663e-06
410,7.53860745616058e-06
411,8.020898742472364e-06
412,8.302652138983692e-06
413,8.820125947558142e-06
414,9.139850466590806e-06
415,9.695757867869103e-06
416,1.0056828985830175e-05
417,1.0654696642223137e-05
418,1.1060776243363366e-05
419,1.1704428393428929e-05
420,1.2159487175941517e-05
421,1.2853068290408337e-05
422,1.3361410182002797e-05
423,1.4109410018885748e-05
424,1.467569710046147e-05
425,1.5482977319514215e-05
426,1.6112257909628212e-05
427,1.6984080531667115e-05
428,1.7681817815145806e-05
429,1.8623875368860268e-05
430,1.9395979439621654e-05
431,2.041442730716378e-05
432,2.1267288281504315e-05
433,2.2368779263774992e-05
434,2.3309302813224453e-05
435,2.4501024065121455e-05
436,2.5536669822961102e-05
437,2.6826382169348997e-05
438,2.796520387483098e-05
439,2.936128327657583e-05
440,3.06119721875697e-05
441,3.212345501332371e-05
442,3.349538571985956e-05
443,3.5132015072363186e-05
444,3.66352947375958e-05
445,3.8407571663077905e-05
446,4.0053091429414926e-05
447,4.1972328482062206e-05
448,4.377181865491445e-05
449,4.585019637651967e-05
450,4.781628542714368e-05
451,5.006691293438491e-05
452,5.2213189516524215e-05
453,5.465016801901251e-05
454,5.6991246920210804e-05
455,5.962973832545622e-05
456,6.218133020290254e-05
457,6.503762852541689e-05
458,6.7816613559059e-05
459,7.090822138886806e-05
