,amp
0,1.9986724752763754e-13
1,-1.559083946176276e-13
2,1.2110492812530883e-13
3,-1.767206880737288e-13
4,-2.994595851030193e-15
5,1.1522938267269169e-13
6,-3.9996439413018386e-14
7,-3.5166908576945597e-15
8,5.182442400082453e-14
9,-8.667628571456661e-14
10,4.1477926518911073e-14
11,1.3044503821862255e-13
12,-1.1255098829483051e-13
13,-4.903654153104531e-15
14,9.72076317616765e-14
15,-9.430445122003964e-14
16,2.837881552660722e-14
17,2.8463684858408055e-14
18,-1.3560071613044126e-13
19,6.938053337204022e-14
20,-8.845307369789007e-14
21,2.1354680602975105e-13
22,-1.2857192592539117e-13
23,4.6122725695918606e-14
24,5.037460200811381e-14
25,-1.7810307465620454e-14
26,-3.178386978173778e-14
27,-5.857394330078464e-14
28,8.0285102637165e-14
29,-1.2788111547254198e-13
30,6.03615749186141e-14
31,6.698603054972399e-14
32,-9.801081408233655e-14
33,7.243393624877752e-14
34,-6.805496883646563e-14
35,7.414067381033688e-14
36,-4.579853424789264e-14
37,4.7080033670873006e-14
38,-1.266254532092248e-13
39,1.3425879283276955e-13
40,-8.286411590136503e-14
41,5.324300563124307e-14
42,-5.319508800171104e-14
43,1.7755664048392843e-13
44,-8.999010258225861e-14
45,-1.6632085785225333e-14
46,-1.2127619523013635e-13
47,7.864724451331539e-14
48,3.013129717772539e-14
49,-1.4912213727401755e-13
50,1.4560470615787578e-13
51,2.866695289044892e-14
52,-4.5352302634116694e-14
53,3.416154848215645e-14
54,7.810316192468394e-14
55,-2.0204935256914199e-13
56,-2.5254503780357513e-15
57,1.7715141260291317e-13
58,-1.0587984581341767e-13
59,-7.042156414977126e-14
60,1.5289305930561242e-13
61,-6.02434305376202e-14
62,-3.092956663706248e-14
63,1.32942469577354e-14
64,-4.30891334024871e-15
65,4.914411575565428e-14
66,-3.590428829899726e-14
67,-3.61825761991241e-15
68,6.64500598534653e-14
69,-3.48936947094049e-14
70,-2.3496821685127443e-14
71,9.395155958710565e-14
72,-1.5624225576648518e-13
73,1.5613667318348785e-13
74,-1.2545116925178847e-13
75,2.945701399572164e-15
76,3.0583761173431667e-15
77,7.540160263562693e-14
78,-5.464699683353625e-16
79,-2.6585752733465898e-14
80,-4.9672003600768026e-15
81,-7.584864975639482e-14
82,1.6892684817519152e-13
83,-1.4844647798979982e-13
84,7.805530831157365e-14
85,-4.557107528748698e-14
86,-5.0201089332973426e-14
87,-5.5062902854312015e-14
88,1.4260357367438696e-13
89,-8.252225524434693e-14
90,-2.3607353185388182e-14
91,1.4335510449155443e-13
92,-6.278468722359537e-14
93,-7.642290450685573e-15
94,1.9041461809594936e-14
95,-1.3393223357763186e-13
96,5.934955797223062e-14
97,5.964944782110567e-14
98,-7.092960712030717e-14
99,6.8746298345583e-14
100,1.0897099397243421e-13
101,-1.8296756264416892e-13
102,1.4394136628307622e-13
