"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.70840000000E+009, -3.80708023968E-001, +0.00000000000E+000
+7.70860000000E+009, -5.61294283403E-001, +0.00000000000E+000
+7.70880000000E+009, -3.83417480199E-001, +0.00000000000E+000
+7.70900000000E+009, -4.94939567467E-001, +0.00000000000E+000
+7.70920000000E+009, -3.50126272311E-001, +0.00000000000E+000
+7.70940000000E+009, -3.42576464691E-001, +0.00000000000E+000
+7.70960000000E+009, -3.22689919227E-001, +0.00000000000E+000
+7.70980000000E+009, -4.02121859349E-001, +0.00000000000E+000
+7.71000000000E+009, -3.00050338621E-001, +0.00000000000E+000
+7.71020000000E+009, -4.07936747833E-001, +0.00000000000E+000
+7.71040000000E+009, -2.44245411505E-001, +0.00000000000E+000
+7.71060000000E+009, -1.43400172507E-001, +0.00000000000E+000
+7.71080000000E+009, -5.25846061627E-001, +0.00000000000E+000
+7.71100000000E+009, -1.81402144109E-001, +0.00000000000E+000
+7.71120000000E+009, -3.61370336154E-001, +0.00000000000E+000
+7.71140000000E+009, -4.02478346775E-001, +0.00000000000E+000
+7.71160000000E+009, -5.11392538880E-001, +0.00000000000E+000
+7.71180000000E+009, -2.92975633822E-001, +0.00000000000E+000
+7.71200000000E+009, -3.27164817223E-001, +0.00000000000E+000
+7.71220000000E+009, -4.24346578407E-001, +0.00000000000E+000
+7.71240000000E+009, -4.40742729068E-001, +0.00000000000E+000
+7.71260000000E+009, -3.77116831364E-001, +0.00000000000E+000
+7.71280000000E+009, -4.32639836313E-001, +0.00000000000E+000
+7.71300000000E+009, -5.61306221864E-001, +0.00000000000E+000
+7.71320000000E+009, -4.59874376307E-001, +0.00000000000E+000
+7.71340000000E+009, -4.52582870958E-001, +0.00000000000E+000
+7.71360000000E+009, -4.20009890882E-001, +0.00000000000E+000
+7.71380000000E+009, -4.71063402328E-001, +0.00000000000E+000
+7.71400000000E+009, -4.31933753313E-001, +0.00000000000E+000
+7.71420000000E+009, -3.95599502702E-001, +0.00000000000E+000
+7.71440000000E+009, -4.04993373626E-001, +0.00000000000E+000
+7.71460000000E+009, -2.77942151653E-001, +0.00000000000E+000
+7.71480000000E+009, -1.82743867730E-001, +0.00000000000E+000
+7.71500000000E+009, -1.29599762790E-001, +0.00000000000E+000
+7.71520000000E+009, -1.84655249697E-001, +0.00000000000E+000
+7.71540000000E+009, -2.55833952441E-001, +0.00000000000E+000
+7.71560000000E+009, -4.04252157453E-001, +0.00000000000E+000
+7.71580000000E+009, -4.32958344712E-001, +0.00000000000E+000
+7.71600000000E+009, -1.69973097790E-001, +0.00000000000E+000
+7.71620000000E+009, -1.29632517211E-001, +0.00000000000E+000
+7.71640000000E+009, -3.95754528736E-001, +0.00000000000E+000
+7.71660000000E+009, -4.49426719897E-001, +0.00000000000E+000
+7.71680000000E+009, -3.66560201777E-001, +0.00000000000E+000
